serial_number,raw_english_name,price,currency,unit
368,Dior Homme Intense,218.78,USD,KG
369,Giorgio Armani Thé Yulong,69.70,USD,KG
371,Hermes Eau d'Orange Verte,60.60,USD,KG
373,Burberry Weekend for Men,120.00,USD,KG
374,Creed Aventus,88.78,USD,KG
377,) Frederic Malle L'Eau d'Hiver,83.34,USD,KG
378,Carolina Herrera Good Girl,90.90,USD,KG
379,Louis Vuitton Afternoon Swim,346.06,USD,KG
381,02 ESCENTRIC 02,413.94,USD,KG
382,Louis Vuitton Ombre Nomade,450.30,USD,KG
383,Tom Ford White Suede,125.76,USD,KG
384,Valentino Voce Viva,262.42,USD,KG
385,Lancome Miracle,256.96,USD,KG
386,Kilian Angels' Share,120.60,USD,KG
387,Louis Vuitton Le Jour se Lève,86.66,USD,KG
388,Giorgio Armani Pivoine Suzhou,287.88,USD,KG
390,Dior Dune,178.18,USD,KG
391,Maison Margiela Bubble Bath,66.66,USD,KG
392,"Louis Vuitton Imagination, 2021",281.22,USD,KG
393,"Jean Paul Gaultier Le Male Elixir, 2023",332.12,USD,KG
396,Byredo Rose Of No Man's Land,60.60,USD,KG
398,"Parfums de Marly Valaya, 2023",60.60,USD,KG
400,"Chloe Chloe Eau de Parfum, 2008",96.96,USD,KG
401,"Giorgio Armani Armani Privé Oud Royal, 2010",169.70,USD,KG
402,"Dior J'adore Parfum d'Eau, 2022",438.18,USD,KG
403,"Creed Absolu Aventus,2023",463.64,USD,KG
404,Narciso Rodriguez For Her,51.52,USD,KG
405,Kayali Fragrances Yum Boujee Marshmallow | 81,151.52,USD,KG
407,Amouage Guidance 46,330.30,USD,KG
408,Narciso Rodriguez For Her,42.42,USD,KG
410,Chloe Atelier des Fleurs Cedrus,220.00,USD,KG
411,Narciso Rodriguez For Her,69.10,USD,KG
415,"Hermes Le Jardin de Monsieur Li, 2015",90.60,USD,KG
416,"Frederic Malle Portrait of a Lady, 2010",200.00,USD,KG
417,"Burberry Goddess, 2023",115.16,USD,KG
418,"Penhaligon's The Coveted Duchess Rose, 2016",184.24,USD,KG
419,"Hugo Boss Boss Ma Vie Pour Femme Intense, 2016",157.58,USD,KG
420,"Dolce&Gabbana D&G Anthology L'Imperatrice 3, 2009",190.30,USD,KG
421,Ex Nihilo Fleur Narcotique,211.52,USD,KG
422,"Amouage Reflection Man, 2006",113.64,USD,KG
423,) Tom Ford Ombré Leather,106.06,USD,KG
429,"Louis Vuitton Imagination, 2021",160.00,USD,KG
430,Byredo Rose Of No Man's Land,160.00,USD,KG
431,"Creed Absolu Aventus,2023",178.78,USD,KG
432,NASOMATTO - BLACK AFGANO,121.22,USD,KG
433,TOM FORD - TOBACCO VANILLE,121.22,USD,KG
434,"Kenzo Jungle L'Elephant, 1996",200.00,USD,KG
435,Dolce&Gabbana Devotion,114.54,USD,KG
436,Giorgio Armani Figuier Eden,211.82,USD,KG
437,Viktor&Rolf Spicebomb,151.52,USD,KG
438,Jo Malone Dark Amber & Ginger Lily,144.84,USD,KG
439,"Louis Vuitton Orage, 2018",329.70,USD,KG
440,Frederic Malle Rose Tonnerre (Une Rose),127.28,USD,KG
441,Gucci Bloom,223.64,USD,KG
442,Creed-Aventus,77.58,USD,KG
446,Hermes Twilly d'Hermès,241.82,USD,KG
453,Creed Silver Mountain Water,333.34,USD,KG
454,) Penhaligon's The Tragedy of Lord George,101.52,USD,KG
455,"Dior Bois D'Argent, 2018",496.96,USD,KG
456,Dior Bois D'Argent,60.60,USD,KG
457,Giorgio Armani My Way,96.96,USD,KG
461,Frederic Malle En Passant,66.06,USD,KG
463,Creed Queen of Silk,110.90,USD,KG
464,"Chanel Bleu de Chanel Eau de Toilette, 2010",120.60,USD,KG
465,"Chanel Bleu de Chanel Eau de Toilette, 2010",342.42,USD,KG
466,"YSL Yves Saint Laurent Y, 2017",246.06,USD,KG
467,"Giorgio Armani Si, 2013",141.82,USD,KG
468,"Etat Libre d'Orange You Or Someone Like You, 2017",141.82,USD,KG
469,Laura Biagiotti Venezia,473.34,USD,KG
470,Kayali Fragrances Vanilla Royale Sugared Patchouli 64,121.22,USD,KG
471,Sol de Janeiro Brazilian Crush Cheirosa,63.64,USD,KG
472,"Chanel Chance Eau Fraiche, 2007",263.64,USD,KG
473,Kilian Sacred Wood,66.66,USD,KG
475,"Louis Vuitton Ambre Levant, 2026",1696.96,USD,KG
476,"Serge Lutens L'orpheline, 2014",199.40,USD,KG
477,"Guerlain Habit Rouge Eau de Parfum, 1965",278.78,USD,KG
478,"Frederic Malle Carnal Flower, 2005",275.16,USD,KG
479,"Viktor&Rolf Spicebomb, 2012",90.60,USD,KG
480,"Bvlgari Pour Homme Eau de Toilette, 1996",138.78,USD,KG
481,"Jo Malone Wild Bluebell, 2011",141.82,USD,KG
482,"Guerlain Angélique Noire, 2005",223.04,USD,KG
483,"Chanel Bleu de Chanel Eau de Parfum, 2014",251.52,USD,KG
490,"Louis Vuitton Imagination, 2021",45.46,USD,KG
491,Dior J'adore,78.78,USD,KG
492,"Kenzo Jungle L'Elephant, 1996",60.60,USD,KG
494,YSL Yves Saint Laurent Libre,147.88,USD,KG
495,Louis Vuitton Ombre Nomade,177.58,USD,KG
496,Creed Silver Mountain Water,151.52,USD,KG
497,"Parfums de Marly Valaya, 2023",121.22,USD,KG
498,"33 Le Labo Santal 33, 2011",42.42,USD,KG
499,Xerjoff Erba Pura,45.46,USD,KG
501,Dior Bois D'Argent,89.40,USD,KG
502,"Frederic Malle Portrait of a Lady, 2010",96.66,USD,KG
503,Kilian Sacred Wood,66.66,USD,KG
505,"Valentino Donna Born In Roma, 2019",178.18,USD,KG
506,"Dolce&Gabbana Light Blue,2001",136.36,USD,KG
507,"Jo Malone Peony & Blush Suede, 2013",109.10,USD,KG
508,Tom Ford Lost Cherry,45.46,USD,KG
509,"Burberry Her, 2018",165.16,USD,KG
510,"Louis Vuitton Rose des Vents, 2016",38.78,USD,KG
511,"Valentino Donna Born In Roma Coral Fantasy, 2022",154.54,USD,KG
512,Chanel Coco Mademoiselle,90.30,USD,KG
513,"YSL Yves Saint Laurent Y, 2017",121.22,USD,KG
